Sub Prod Cd,Acct Nbr,Tran Cd,Trans Desc,Tran Detail Desc,Db Cr Cd,Category,Post Dt,Tran Amt,MCC,Merchant Type,SIC Code Group Type,Presentation
Checking ,1,5786,REVERSE CHECK IMAGE CHECK              ,                                               ,C,Fee Reversal,8/22/2014,11,,#N/A,#N/A,#N/A
Checking ,1,5786,REVERSE CHECK IMAGE CHECK              ,                                               ,C,Fee Reversal,8/26/2014,11,,#N/A,#N/A,#N/A
Checking ,1,2055,AUTO LOC PAYMENT MINIMUM BILLED        ,                                               ,C,Fee Reversal,7/2/2014,22.28,,#N/A,#N/A,#N/A
Checking ,1,2055,AUTO LOC PAYMENT MINIMUM BILLED        ,                                               ,C,Fee Reversal,8/4/2014,22.44,,#N/A,#N/A,#N/A
Checking ,1,2055,AUTO LOC PAYMENT MINIMUM BILLED        ,                                               ,C,Fee Reversal,6/2/2014,22.52,,#N/A,#N/A,#N/A
Checking ,1,2055,AUTO LOC PAYMENT MINIMUM BILLED        ,                                               ,C,Fee Reversal,5/5/2014,23.13,,#N/A,#N/A,#N/A
Checking ,1,1055,ACH WITHDRAWAL                         ,VERIZON WIRELESS PAYMENTS   02446144712400001    ,D,Utilities,5/19/2014,377.12,4813,Special Telecom Merchants,Special Telecom Merchants,Special Telecom Merchants
Checking ,1,1033,AUTOMATIC ADVANCE FROM LOC             ,                                               ,C,Fee Reversal,5/5/2014,24.26,,#N/A,#N/A,#N/A
Checking ,1,1033,AUTOMATIC ADVANCE FROM LOC             ,                                               ,C,Fee Reversal,8/12/2014,24.5,,#N/A,#N/A,#N/A
Checking ,1,1071,VISA DEBIT                             ,17440044 OPPD                402-5524744  NE       ,D,Utilities,8/25/2014,355.6,4900,"Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities"
Checking ,1,1071,VISA DEBIT                             ,1415 SOUTHWES    526241100444400-475-1004412 TX       ,D,Travel,6/4/2014,327.5,5969,Direct Marketing – Not Elsewhere Classified,Direct Marketing – Not Elsewhere Classified,Direct Marketing – Not Elsewhere Classified
Checking ,1,1071,VISA DEBIT                             ,1415 SOUTHWES    526241100444400-475-1004412 TX       ,D,Travel,6/4/2014,327.5,5969,Direct Marketing – Not Elsewhere Classified,Direct Marketing – Not Elsewhere Classified,Direct Marketing – Not Elsewhere Classified
Checking ,1,1055,ACH WITHDRAWAL                         ,VERIZON WIRELESS PAYMENTS   02446144712400001    ,D,Utilities,6/18/2014,318.48,4813,Special Telecom Merchants,Special Telecom Merchants,Special Telecom Merchants
Checking ,1,1204,REVERSE OVERDRAFT ITEM FEE(S)          ,                                               ,C,Fee Reversal,8/28/2014,33,,#N/A,#N/A,#N/A
Checking ,1,1055,ACH WITHDRAWAL                         ,VERIZON WIRELESS PAYMENTS   02446144712400001    ,D,Utilities,7/17/2014,318.48,4813,Special Telecom Merchants,Special Telecom Merchants,Special Telecom Merchants
Checking ,1,5851,ANNUAL OVERDRAFT FORGIVENESS           ,                                               ,C,Fee Reversal,9/3/2014,33,,#N/A,#N/A,#N/A
Checking ,1,1056,REVERSE ACH WITHDRAWAL                 ,                                               ,C,Fee Reversal,8/20/2014,37.26,,#N/A,#N/A,#N/A
Checking ,1,1055,ACH WITHDRAWAL                         ,VERIZON WIRELESS PAYMENTS   02446144712400001    ,D,Utilities,8/19/2014,318.33,4813,Special Telecom Merchants,Special Telecom Merchants,Special Telecom Merchants
Checking ,1,2055,AUTO LOC PAYMENT MINIMUM BILLED        ,                                               ,C,Fee Reversal,7/29/2014,43.25,,#N/A,#N/A,#N/A
Checking ,1,1055,ACH WITHDRAWAL                         ,VERIZON WIRELESS RDP PAYMEN 02446144712400001    ,D,Utilities,8/25/2014,318.33,4813,Special Telecom Merchants,Special Telecom Merchants,Special Telecom Merchants
Checking ,1,2055,AUTO LOC PAYMENT MINIMUM BILLED        ,                                               ,C,Fee Reversal,7/2/2014,46.47,,#N/A,#N/A,#N/A
Checking ,1,2055,AUTO LOC PAYMENT MINIMUM BILLED        ,                                               ,C,Fee Reversal,6/2/2014,47.36,,#N/A,#N/A,#N/A
Checking ,1,1033,AUTOMATIC ADVANCE FROM LOC             ,                                               ,C,Fee Reversal,7/17/2014,49.75,,#N/A,#N/A,#N/A
Checking ,1,1055,ACH WITHDRAWAL                         ,WELLS FARGO DLR  FEE & PMTS 440100440044557         ,D,Service Fee,6/11/2014,305.76,,#N/A,#N/A,#N/A
Checking ,1,5785,CHECK IMAGE CHECK                      ,                                               ,D,,7/16/2014,300,,#N/A,#N/A,#N/A
Checking ,1,5785,CHECK IMAGE CHECK                      ,                                               ,D,,6/9/2014,278.2,,#N/A,#N/A,#N/A
Checking ,1,1071,VISA DEBIT                             ,1415 OPPD                402-5524744  NE       ,D,Utilities,7/17/2014,250,4900,"Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities"
Checking ,1,1071,VISA DEBIT                             ,4265 EDEN NAILS AND SPA  OMAHA        NE       ,D,Spa and Massage,6/13/2014,245,,#N/A,#N/A,#N/A
Checking ,1,1204,REVERSE OVERDRAFT ITEM FEE(S)          ,                                               ,C,Fee Reversal,8/20/2014,66,,#N/A,#N/A,#N/A
Checking ,1,1204,REVERSE OVERDRAFT ITEM FEE(S)          ,                                               ,C,Fee Reversal,8/22/2014,66,,#N/A,#N/A,#N/A
Checking ,1,1204,REVERSE OVERDRAFT ITEM FEE(S)          ,                                               ,C,Fee Reversal,8/26/2014,66,,#N/A,#N/A,#N/A
Checking ,1,1056,REVERSE ACH WITHDRAWAL                 ,                                               ,C,Fee Reversal,8/22/2014,75,,#N/A,#N/A,#N/A
Checking ,1,1056,REVERSE ACH WITHDRAWAL                 ,                                               ,C,Fee Reversal,8/28/2014,75,,#N/A,#N/A,#N/A
Checking ,1,2055,AUTO LOC PAYMENT MINIMUM BILLED        ,                                               ,C,Fee Reversal,9/2/2014,98.37,,#N/A,#N/A,#N/A
Checking ,1,1056,REVERSE ACH WITHDRAWAL                 ,                                               ,C,Fee Reversal,8/20/2014,318.33,,#N/A,#N/A,#N/A
Checking ,1,1056,REVERSE ACH WITHDRAWAL                 ,                                               ,C,Fee Reversal,8/26/2014,318.33,,#N/A,#N/A,#N/A
