Sub Prod Cd;Acct Nbr;Tran Cd;Trans Desc;Tran Detail Desc;Db Cr Cd;Category;Post Dt;Tran Amt;MCC;Merchant Type;SIC Code Group Type;Presentation;;;;;;;;;
Checking ;2;1118;INTEREST PAYMENT                       ;                                               ;C;Interest Income;5/12/2014;0.01;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1037;LOC OVERPAYMENT CREDIT                 ;                                               ;C;Fee Reversal;6/9/2014;200;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;2007;OVERPAYMENT - DEBIT                    ;                                               ;D;Fee;6/9/2014;200;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5528;DEPOSIT CORRECTION                     ;                                               ;C;;7/8/2014;5;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1003;CUSTOMER DEPOSIT                       ;                                               ;C;;7/3/2014;6.67;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;9/2/2014;10;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;5/13/2014;18.99;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;6/12/2014;18.99;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;7/11/2014;18.99;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;8/11/2014;18.99;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;5/14/2014;33.76;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;6/11/2014;33.76;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;7/10/2014;33.76;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;8/13/2014;33.76;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;7/18/2014;40;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;6/9/2014;46.85;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;5/16/2014;48.12;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;5/30/2014;54.75;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;8/22/2014;54.75;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;8/18/2014;57.85;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;5/19/2014;58.75;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;7/8/2014;60;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;8/18/2014;80;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;7/29/2014;90.95;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;5/23/2014;94;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;6/23/2014;94;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;7/22/2014;94;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;8/25/2014;94;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;6/24/2014;100;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;7/25/2014;103.72;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1003;CUSTOMER DEPOSIT                       ;                                               ;C;;7/18/2014;104.1;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;5/28/2014;111.06;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;8/26/2014;122.73;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1003;CUSTOMER DEPOSIT                       ;                                               ;C;;9/2/2014;123.82;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;8/19/2014;131;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;6/30/2014;131.57;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;5/21/2014;143.55;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;8/20/2014;143.55;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;7/10/2014;156.05;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;7/21/2014;168.89;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;8/22/2014;168.89;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;5/27/2014;168.96;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;6/23/2014;168.97;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;7/14/2014;173.44;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;6/26/2014;190.46;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;6/20/2014;190.6;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1003;CUSTOMER DEPOSIT                       ;                                               ;C;;8/6/2014;240;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1003;CUSTOMER DEPOSIT                       ;                                               ;C;;8/22/2014;300;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1003;CUSTOMER DEPOSIT                       ;                                               ;C;;8/14/2014;600;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;5/12/2014;621.26;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1003;CUSTOMER DEPOSIT                       ;                                               ;C;;7/8/2014;730;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1003;CUSTOMER DEPOSIT                       ;                                               ;C;;5/13/2014;800;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;7/29/2014;964.7;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5785;CHECK IMAGE CHECK                      ;                                               ;D;;8/29/2014;978;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1003;CUSTOMER DEPOSIT                       ;                                               ;C;;6/5/2014;980;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1003;CUSTOMER DEPOSIT                       ;                                               ;C;;6/23/2014;10796.96;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;7/3/2014;224.68;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;7/11/2014;272.15;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;5/30/2014;305.38;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;6/6/2014;333.87;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;8/15/2014;352.87;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;6/13/2014;369.48;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;8/1/2014;395.59;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;6/27/2014;395.6;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;8/8/2014;397.97;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;5/23/2014;402.72;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;6/20/2014;409.84;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;7/18/2014;409.84;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;7/25/2014;409.84;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;5/9/2014;409.84;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;5/16/2014;409.84;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;8/15/2014;1041.68;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;7/18/2014;1089.73;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;6/6/2014;1141.73;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;8/1/2014;1154.89;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;5/9/2014;1155.73;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;5/23/2014;1156.92;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;7/3/2014;1160.14;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;6/20/2014;1164.92;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;8/28/2014;1189.69;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;5/30/2014;1288.07;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;6/27/2014;1288.07;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;7/25/2014;1288.08;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;8/8/2014;1291.13;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;6/13/2014;1808.88;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;5/16/2014;1824.67;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;8/22/2014;2122.55;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1007;ACH DEPOSIT                            ;123 Company;C;Paycheck;7/11/2014;2126.61;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1085;LOCAL ATM WITHDRAWAL                   ;1741 0044160 TOWNE CENTER PKPAPILLION    NE       ;D;ATM / CASH;6/2/2014;20;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1085;LOCAL ATM WITHDRAWAL                   ;1741 0044160 TOWNE CENTER PKPAPILLION    NE       ;D;ATM / CASH;8/29/2014;20;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1085;LOCAL ATM WITHDRAWAL                   ;1741 0044160 TOWNE CENTER PKPAPILLION    NE       ;D;ATM / CASH;5/12/2014;40;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;1085;LOCAL ATM WITHDRAWAL                   ;1741 11404 DODGE S #2    OMAHA        NE       ;D;ATM / CASH;7/30/2014;80;;#N/A;#N/A;#N/A;;;;;;;;;
Checking ;2;5764;INTERLINK/NETS POS                     ;1741 ALDI 46040 062451004400BELLEVUE     NE       ;D;Grocery;6/12/2014;9.22;5411;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;;;;;;;;;
Checking ;2;5764;INTERLINK/NETS POS                     ;1741 ALDI 46040 062451004400BELLEVUE     NE       ;D;Grocery;6/4/2014;12.65;5411;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;;;;;;;;;
Checking ;2;5764;INTERLINK/NETS POS                     ;1741 ALDI 46040 062451004400BELLEVUE     NE       ;D;Grocery;5/5/2014;35.24;5411;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;;;;;;;;;
Checking ;2;5764;INTERLINK/NETS POS                     ;1741 ALDI 46042 062451004400OMAHA        NE       ;D;Grocery;5/5/2014;2.89;5411;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;;;;;;;;;
Checking ;2;5764;INTERLINK/NETS POS                     ;1741 ALDI 46042 062451004400OMAHA        NE       ;D;Grocery;6/2/2014;5.51;5411;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;;;;;;;;;
Checking ;2;5764;INTERLINK/NETS POS                     ;1741 ALDI 46042 062451004400OMAHA        NE       ;D;Grocery;7/16/2014;6.19;5411;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;;;;;;;;;
Checking ;2;5764;INTERLINK/NETS POS                     ;1741 ALDI 46042 062451004400OMAHA        NE       ;D;Grocery;8/14/2014;7.26;5411;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;;;;;;;;;
Checking ;2;5764;INTERLINK/NETS POS                     ;1741 ANDYS CONVENIENCE STOMAHA        NE       ;D;Grocery;8/28/2014;1.69;5411;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;;;;;;;;;
Checking ;2;5764;INTERLINK/NETS POS                     ;1741 BAG N SAVE #0044442     OMAHA        NE       ;D;Grocery;7/24/2014;7.06;5411;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;;;;;;;;;
Checking ;2;5764;INTERLINK/NETS POS                     ;1741 BAG N SAVE #0044442     OMAHA        NE       ;D;Grocery;8/4/2014;9.96;5411;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;;;;;;;;;
Checking ;2;5764;INTERLINK/NETS POS                     ;1741 BAG N SAVE #0044442     OMAHA        NE       ;D;Grocery;8/7/2014;10.77;5411;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;;;;;;;;;
Checking ;2;5764;INTERLINK/NETS POS                     ;1741 BAG N SAVE #0044442     OMAHA        NE       ;D;Grocery;7/7/2014;11.36;5411;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;;;;;;;;;
Checking ;2;5764;INTERLINK/NETS POS                     ;1741 BAG N SAVE #0044442     OMAHA        NE       ;D;Grocery;6/25/2014;12.72;5411;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;Grocery Stores/Supermarkets;;;;;;;;;
Checking ;2;1071;VISA DEBIT                             ;1741 CBANKS #661         PAPILLION    NE       ;D;Auto/Gas;5/13/2014;10.48;5542;Automated Fuel Dispensers;Automated Fuel Dispensers;Automated Fuel Dispensers;;;;;;;;;
Checking ;2;5764;INTERLINK/NETS POS                     ;1741 CVS 02171 02171--147OMAHA        NE       ;D;Pharmacy;6/9/2014;14.22;8099;Medical Services; Health Practitioners-not Elsewhe;Medical Services; Health Practitioners-not Elsewhe;Medical Services; Health Practitioners-not Elsewhe;;;;;;
