SIC Code,SIC Code Grouping,Merchant Type,SIC Code Group Type,Presentation
1800,0,,Other,Other
1801,0,,Other,Other
1802,0,,Other,Other
1803,0,,Other,Other
1804,0,,Other,Other
1805,0,,Other,Other
1806,0,,Other,Other
1807,0,,Other,Other
1808,0,,Other,Other
1809,0,,Other,Other
1810,0,,Other,Other
1811,0,,Other,Other
1812,0,,Other,Other
1813,0,,Other,Other
1814,0,,Other,Other
1815,0,,Other,Other
1816,0,,Other,Other
1817,0,,Other,Other
1818,0,,Other,Other
1819,0,,Other,Other
1820,0,,Other,Other
1821,0,,Other,Other
1822,0,,Other,Other
1823,0,,Other,Other
1824,0,,Other,Other
1825,0,,Other,Other
1826,0,,Other,Other
1827,0,,Other,Other
1828,0,,Other,Other
1829,0,,Other,Other
1830,0,,Other,Other
1831,0,,Other,Other
1832,0,,Other,Other
1833,0,,Other,Other
1834,0,,Other,Other
1835,0,,Other,Other
1836,0,,Other,Other
1837,0,,Other,Other
1838,0,,Other,Other
1839,0,,Other,Other
1840,0,,Other,Other
1841,0,,Other,Other
1842,0,,Other,Other
1843,0,,Other,Other
1844,0,,Other,Other
1845,0,,Other,Other
1846,0,,Other,Other
1847,0,,Other,Other
1848,0,,Other,Other
1849,0,,Other,Other
1850,0,,Other,Other
1851,0,,Other,Other
1852,0,,Other,Other
1853,0,,Other,Other
1854,0,,Other,Other
1855,0,,Other,Other
1856,0,,Other,Other
1857,0,,Other,Other
1858,0,,Other,Other
1859,0,,Other,Other
1860,0,,Other,Other
1861,0,,Other,Other
1862,0,,Other,Other
1863,0,,Other,Other
1864,0,,Other,Other
1865,0,,Other,Other
1866,0,,Other,Other
1867,0,,Other,Other
1868,0,,Other,Other
1869,0,,Other,Other
1870,0,,Other,Other
1871,0,,Other,Other
1872,0,,Other,Other
1873,0,,Other,Other
1874,0,,Other,Other
1875,0,,Other,Other
1876,0,,Other,Other
1877,0,,Other,Other
1878,0,,Other,Other
1879,0,,Other,Other
1880,0,,Other,Other
1881,0,,Other,Other
1882,0,,Other,Other
1883,0,,Other,Other
1884,0,,Other,Other
1885,0,,Other,Other
1886,0,,Other,Other
1887,0,,Other,Other
1888,0,,Other,Other
1889,0,,Other,Other
